# of excluded QCs,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
2,0.159,0.570,0.798,0.943,0.952,0.963,0.918,0.981,0.957
3,0.121,0.536,0.743,0.897,0.941,0.944,0.893,0.938,0.939
4,0.061,0.471,0.685,0.838,0.891,0.886,0.849,0.893,0.902
