window size/step ranges,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
5,0.543,0.556,0.654,0.733,0.740,0.750,0.756,0.787,0.801
8,0.550,0.567,0.698,0.764,0.781,0.793,0.801,0.834,0.847
10,0.555,0.573,0.717,0.788,0.802,0.815,0.823,0.855,0.868
40,0.585,0.615,0.825,0.916,0.924,0.937,0.944,0.964,0.967
50,0.598,0.626,0.841,0.933,0.942,0.951,0.958,0.972,0.980
80,0.555,0.652,0.881,0.963,0.969,0.977,0.977,0.988,0.991
100,0.616,0.640,0.901,0.973,0.978,0.983,0.986,0.994,0.995
200,0.647,0.677,0.940,0.992,0.994,0.997,0.998,0.997,1.000
400,0.662,0.715,0.973,0.999,0.999,1.000,1.000,1.000,1.000
800,0.668,0.767,0.990,0.996,1.000,1.000,1.000,1.000,1.000
1000,0.655,0.779,0.994,0.999,0.998,1.000,1.000,1.000,1.000
2000,0.672,0.836,0.988,1.000,1.000,1.000,1.000,1.000,1.000
4000,0.711,0.853,0.993,1.000,1.000,1.000,1.000,1.000,1.000
8000,0.641,0.875,0.979,1.000,1.000,1.000,1.000,1.000,1.000
