ibm quantum computer / simulator,aersimulator_density_matrix,aersimulator_matrix_product_state,aersimulator_statevector,qasmsimulator_default,aersimulator_default,statevectorsimulator_default
ibmq_athens,0.5266666412353516,0.503333330154419,0.503333330154419,0.4955555498600006,0.49000000953674316,0.5144444704055786
ibmq_athens-splitA,0.6370370388031006,0.6592592597007751,0.5407407283782959,0.5955555438995361,0.6770370602607727,0.6592592597007751
ibmq_athens-splitB,0.6622222065925598,0.585185170173645,0.3377777636051178,0.6666666865348816,0.5748147964477539,0.5925925970077515
ibmq_athens-split10A,0.8949494957923889,0.8787878751754761,0.9171717166900635,0.9070706963539124,0.931313157081604,0.8828282952308655
ibmq_athens-split10B,0.9171717166900635,0.45858585834503174,0.8909090757369995,0.8909090757369995,0.8969696760177612,0.9191918969154358
ibmq_athens-split10C,0.9212121367454529,0.8909090757369995,0.8929293155670166,0.90505051612854,0.9111111164093018,0.8868687152862549
ibmq_athens-split10D,0.9111111164093018,0.9010100960731506,0.90505051612854,0.903030276298523,0.90505051612854,0.9090909361839294
ibmq_athens-split10E,0.9070706963539124,0.9070706963539124,0.8929293155670166,0.9252524971961975,0.9111111164093018,0.9131312966346741
ibmq_athens-split10F,0.9010100960731506,0.8888888955116272,0.9070706963539124,0.9090909361839294,0.8888888955116272,0.9070706963539124
ibmq_athens-split10G,0.9191918969154358,0.8383838534355164,0.486868679523468,0.9070706963539124,0.903030276298523,0.8909090757369995
ibmq_athens-split10H,0.8909090757369995,0.903030276298523,0.9111111164093018,0.9131312966346741,0.9090909361839294,0.9232323169708252
ibmq_athens-split10I,0.8868687152862549,0.9171717166900635,0.8888888955116272,0.9111111164093018,0.9111111164093018,0.8949494957923889
ibmq_athens-split10J,0.9171717166900635,0.8989899158477783,0.9252524971961975,0.9151515364646912,0.90505051612854,0.90505051612854
ibmq_santiago,0.5155555605888367,0.4866666793823242,0.4977777898311615,0.5322222113609314,0.5211111307144165,0.4699999988079071
ibmq_casablanca,0.5122222304344177,0.5133333206176758,0.4699999988079071,0.49222221970558167,0.5188888907432556,0.5188888907432556
ibmq_casablanca-bis,0.4866666793823242,0.5244444608688354,0.5288888812065125,0.4977777898311615,0.5122222304344177,0.47777777910232544
ibmq_5_yorktown,0.503333330154419,0.49666666984558105,0.47777777910232544,0.5,0.5166666507720947,0.4911110997200012
ibmq_bogota,0.5111111402511597,0.48444443941116333,0.5166666507720947,0.504444420337677,0.5233333110809326,0.47555556893348694
ibmq_lima,0.4911110997200012,0.4699999988079071,0.4811111092567444,0.4977777898311615,0.5,0.47555556893348694
ibmq_quito,0.4933333396911621,0.49222221970558167,0.4833333194255829,0.46888887882232666,0.5011110901832581,0.5
